modelo,n_max_ok,vram_max_mib,vram_max_gib,sum_rss_nmax_mib,vlm_lat_max_s,vlm_lat_mean_s
mobileclip,33,32082,31.3301,77236.71,0.191265,0.036851
clip,23,32065,31.3135,50762.43,0.098141,0.04214
florence2_base,21,32067,31.3154,54652.31,1.857762,0.198174
siglip,19,32064,31.3125,41513.26,0.124741,0.02039
openvision,12,32062,31.3105,30987.75,0.110443,0.024872
florence2_large,11,32051,31.2998,28879.5,1.94533,0.326802
qwen3vl,6,32047,31.2959,52221.82,0.477734,0.1305
qwen2vl,5,32025,31.2744,41093.51,0.474143,0.138872
internvl2,5,32031,31.2803,47609.18,0.412149,0.201048
paligemma,4,32026,31.2754,41236.69,0.443408,0.153899
